を向上させる;よくなる,improve
干渉する；介入する；邪魔する,interfere
を詰まらせる；を阻害する；詰まる,clog
（注意など）をそらす,distract
を禁じる,forbid
をだます,deceive
を見落とす；を大目に見る；を見渡す,overlook
（意見など）を退ける；を解雇する,dismiss
を台無しにする；を甘やかす；駄目になる,spoil
あくびをする,yawn
に挨拶をする；を迎える,greet
うなずく；うとうとする,nod
に従う；に服従する,obey
を経験する；を受ける；に耐える,undergo
（人・動物・植物）を育てる,rear
を治す；治る,heal
を引き合いに出す；を引用する,cite
を修正する；を緩和する,modify
（を）誇張する；を強調する,exaggerate
破裂する；（・・・を）突然始める,burst
をぞくぞくさせる；わくわくする,thrill
を超える；に勝る,exceed
特権、特典,privilege
自由；解放；気まま,liberty
繁栄,prosperity
遺産,heritage
（米国などの）議会；会議,congress
（英国などの）議会；国会議員団,parliament
（経済）基盤；インフラ,infrastructure
側面；局面；次元；寸法,dimension
部分；一人前；割り当て,portion
栄養補助剤；補足,supplement
食欲；欲求,appetite
気質；気性；機嫌；かんしゃく,temper
（気まぐれな）好み；空想；思いつき,fancy
錯覚；思い違い；幻想,illusion
疲労,fatigue
ストレス；圧力；強調,stress
危険（要素）；偶然,hazard
感染（症）,infection;
飢饉；（食料・物資の）ひどい不足,famine
混沌；大混乱,chaos
苦悩；苦痛；困窮,distress
恥；残念なこと,shame
（集合的に）牛,cattle
捕食動物；略奪者,predator
荒野,wilderness
（日）陰；明度の度合い；日よけ,shade
修道士；僧,monk
聖職者,priest
葬式,funeral
移り変わり；過渡期,transition
循環；流通；（新聞・雑誌の）発行部数,circulation
青年,adolescent
方程式；（the～）同一視,equation
特許（権）；特許品,patent
隠喩；比喩,metaphor
ものがたり；話,narrative
同意；承諾,consent
尊厳；威厳,dignity
関係がある；適切な,relevant
十分な；適切な,adequate
本物の,genuine
迅速な,prompt
親密な；密接な,intimate
警戒して；敏速な,alert
保守的な；保守党の；控えめな,conservative
無関心な,indifferent
（・・・にとって）異質の；外国の,alien
無造作の；手あたり次第の,random
微妙な；希薄な,subtle
適度な；穏健な,moderate
多様な,multiple
極地の；電極の,polar
（しばしばA-）北極の,arctic
酸性の；酸っぱい；辛辣な,acid
化粧の；美容の,cosmetic
絶滅した；廃止された,extinct
精神の；霊的な,spiritual
意味のある,meaningful
機械の；機械的な,mechanical
活動的な；動的な,dynamic
を高める：を増加させる,boost
を強化する,reinforce
を蓄積する：積もる,accumulate
をはぐくむ：を養成する,nurture
（人）を慣れさせる,accustom
一致する：交通する,correspond
を配属する；を割り当てる,assign
を規制する：を調整する,regulate
を侵害する：（規制）を破る,violate
をイライラさせる,irritate
を侮辱する,insult
を減らす；減少する,diminish
を除外する,exclude
から（金品を）奪う,rob
から（権利などを）奪う,deprive
を置く：を預ける：を堆積させる,deposit
をねじる；ひねる；を歪曲する,twist
を混ぜる：を調和させる,blend
に着手する；に乗る：に乗せる；増える,mount
を投げる,pitch
を投じる；に役を当てる,cast
を投棄する：を落とす,dump
を予期する,anticipate
を評価する：査定する,assess
を宣言する：を発音する,pronounce
（語）をつづる：という語になる,spell
を描く；を演じる,portray
を驚かす,astonish
（光・音など）を出す,emit
咳ををする,cough
歩き回る；それる；はぐれる,wander
漂う；さまよう；を押し流す,drift
をやめる：終わる,cease
の根底にある,underlie
を構成する,constitute
（好ましくない手段に）訴える,resort
を装飾する,decorate
を改革する,reform
を征服する：克服する,conquer
固執する：続く,persist
動機（付け）；報奨金,incentive
直視（力）；直感,intuition
衝動；刺激,impulse
空想；幻想；幻想的作品,fantasy
運命,destiny
美徳；長所；効能,virtue
賛辞；表敬,compliment
記念日,anniversary
ミツバチの巣；群衆,hive
託児所；苗床,nursery
寮,dormitory
美術館；画廊；回廊,gallery
製造工場；製粉所；粉ひき機,mill
生産（高）；出力；排出（量）,output
関節；接合（部）,joint
段階；面,phase
（微）粒子：ほんのわずか,particle
コラム；（新聞などの）欄；円柱,column
余白；差；利ざや,margin
割れ目；鋭い音,crack
散らかった状態；混乱状態,mess
（試合などの）観客,spectator
獲物；犠牲者,prey
灌漑（かんがい）,irrigation
流動体；液体,fluid
大草原,prairie
（動産；不動産などの）財産；私有地,estate
（小説などの）筋；陰謀,plot
領域；領土,realm
締め切り,deadline
世論調査；投票（数）,poll
国勢調査；交通調査,census
論争,controversy
戦闘；対立,combat
総意；（意見の）一致,consensus
（国家間の）条約；協定,treaty
治療（法）；治療薬；解決法,remedy
勝利；勝利の喜び；偉業,triumph
有能な；適任の；満足できる,competent
すばらしい；才能にあふれた；きらめく,brilliant
賢明な；実用的な；顕著な,sensible
寛大な；気前のよい；豊富な,generous
勇敢な；見事な,brave
楽観的な,optimistic
受動的な；消極的な,passive
厳しい：ざらついた,harsh
醜い；険悪な,ugly
感覚の,sensory
口頭の,oral
気まずい：ぎこちない；面倒な,awkward
中立の；はっきりしない,neutral
漠然とした,vague
緊急の,urgent
避けられない,inevitable
具体的な；有形の,concrete
豊富な,abundant
神聖な；宗教的な,sacred
卓越した；目立つ,prominent
密集した；密度の高い：（霧などが）濃い,dense
重大な；深い；難解な,profound
に取り組む：と話をつける,tackle
をささげる；を貢呈する,dedicate
あえて［思い切って］～する,dare
（を）加速する；促進する,accelerate
を伝える：を送る,transmit
に負担をかける：を緊張させる；を漉す,strain
を引きつれる：（人）を～する気にさせる,tempt
をおもしろがらせる：を楽しませる,amuse
をむかつかせる；に愛想を尽かせる,disgust
をだます；不正をする,cheat
を限定する；（通例受身形で）閉じ込められる,confine
を隠す≒hide；を秘密にする,conceal
を許す；を免除する,forgive
を捨てる；を解雇する,discard
に有罪を宣告する,convict
通勤［通学］する,commute
（と）ささやく,whisper
薄れる：衰える,fade
飢える；（・・・を）渇望する：を飢えさせる,starve
消える,vanish
（液体）を流出させる；（液体）が流れ出る,drain
を浸す；を突っ込む；下がる,dip
を押しつぶす；を弾圧する,crush
爆発する；急増する；を論破する,explode
を怖がらせる：を脅かす,terrify
を活用する：を搾取する,exploit
を選出する,elect
に備え付ける：を（・・・のために）装備する,equip
を実現させる：を果たす：を満たす,fulfill
（log onで）ログオンする：を記録する,log
を受け継ぐ：を引き継ぐ,inherit
を提出する：従う：（・・・に）屈服する,submit
を更新する：を再生する,renew
を複製する：を再生する：繁殖する,reproduce
繫栄する：成功する：繁茂する,thrive
をこぼす：こぼれる,spill
をまき散らす：四散する,scatter
（都市などが）不規則に広がる,sprawl
普及している：支配的である；打ち勝つ,prevail
知性：知識人,intellect
礼儀正しさ：好意：優遇,courtesy
姿勢：心構え,posture
社会学,sociology
動機,motive
合図；手掛かり,cue
公共事業：実用性,utility
雑用：日課：いやな仕事,chore
（通例～ｓ）穀物：シリアル,cereal
繊維（質）：本質：精神力,fiber
摂取量：受け入れ数,intake
香り：香水：気配,scent
風味：特色,flavor
混合（物）,mixture
比率,ratio
相当する物［人］,counterpart
小区画の土地：継ぎ：はり薬,patch
群れ：群衆,flock
歩行者,pedestrian
司書：図書館員,librarian
下書き：為替手形：すき間風,draft
方法：公式：製法,formula
商品：有用なもの,commodity
（通例～ｓ）資産：価値のあるもの：利点,asset
通貨：普及,currency
潮（の干満）：動向,tide
妊娠中絶,abortion
損害（の程度）：死者数：通行料,toll
（形）罰：罰金,penalty
森林伐採,deforestation
細菌：微生物,microbe
発生：勃発,outbreak
流行病：蔓延,epidemic
症候群：…現象,syndrome
直売店：はけ口：（電気の）コンセント,outlet
香水：香料,perfume
歓迎会：受付：受領,reception
受け取る人：（臓器などの）被提供者,recipient
熱心な：鋭敏な：激しい,keen
そこそこの：きちんとした：上品な,decent
穏やかな：軽い,mild
謙虚な：質素な：身分が低い,humble
高貴な：堂々とした,noble
利己的な,selfish
残酷な：厳しい,cruel
ばかげた：法外な,ridiculous
耳が聞こえない,deaf
感謝している,grateful
入念な：凝った,elaborate
粗い：大まかな：乱暴な,rough
苦い：厳しい：辛辣な：怒りっぽい,bitter
急進的な：根本的な,radical
集団の：共同の,collective
外来の：異国風の,exotic
（傾斜が）急な：急激な：法外な,steep
浅い⇔deep：浅薄な,shallow
（・・・と）平行の：類似した,parallel
十分にありそうな,probable
絶対的な⇔relative,absolute
美的な：美学の,aesthetic
繁栄する：繁茂する：を振りかざす,flourish
